,Player,Pos,Age,Club,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
5,Ousmane Dembélé,FW,25.0,1.es Barcelona,7.0,6,433.0,4.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42,0.42,0.0,0.42,0.5,0.5,1.6,2.1,0.1,0.34,0.44,0.1,0.44,Matches,France,
6,Olivier Giroud,FW,35.0,1.it Milan,6.0,6,419.0,4.7,4.0,0.0,4.0,0.0,0.0,1.0,0.0,0.86,0.0,0.86,0.86,0.86,3.4,3.4,0.1,3.5,0.72,0.03,0.76,0.72,0.76,Matches,France,
7,Theo Hernández,DF,24.0,1.it Milan,6.0,5,508.0,5.6,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.18,0.35,0.53,0.18,0.53,0.4,0.4,1.2,1.6,0.07,0.22,0.29,0.07,0.29,Matches,France,
8,Adrien Rabiot,MF,27.0,1.it Juventus,6.0,5,483.0,5.4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.19,0.19,0.37,0.19,0.37,1.0,1.0,0.9,1.9,0.19,0.16,0.36,0.19,0.36,Matches,France,
9,Jules Koundé,DF,23.0,1.es Barcelona,6.0,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.04,0.01,0.05,0.04,0.05,Matches,France,
10,Dayot Upamecano,DF,23.0,1.de Bayern Munich,5.0,5,480.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches,France,
11,Ibrahima Konaté,DF,23.0,1.eng Liverpool,5.0,3,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.7,0.12,0.12,0.24,0.12,0.24,Matches,France,
12,Youssouf Fofana,MF,23.0,1.fr Monaco,6.0,2,227.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,0.07,0.07,0.14,0.07,0.14,Matches,France,
13,Randal Kolo Muani,FW,23.0,1.de Eint Frankfurt,3.0,1,182.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.49,1.1,1.1,0.0,1.1,0.66,0.0,0.66,0.66,0.66,Matches,France,
14,Kingsley Coman,"FW,MF",26.0,1.de Bayern Munich,6.0,1,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.1,0.05,0.15,0.1,0.15,Matches,France,
