,Player,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,
20,Jordan Veretout,MF,29.0,0.7,33.0,36.0,91.7,609.0,139.0,13.0,15.0,86.7,16.0,16.0,100.0,4.0,4.0,100.0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,Matches,France
21,Lucas Hernández,DF,26.0,0.1,5.0,10.0,50.0,66.0,16.0,4.0,7.0,57.1,1.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Matches,France
22,Marcus Thuram,"FW,MF",24.0,1.7,27.0,40.0,67.5,366.0,86.0,20.0,25.0,80.0,4.0,10.0,40.0,2.0,3.0,66.7,2,0.3,0.1,1.7,4.0,1.0,5.0,0.0,6.0,Matches,France
23,William Saliba,DF,21.0,0.3,37.0,37.0,100.0,640.0,217.0,12.0,12.0,100.0,24.0,24.0,100.0,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,Matches,France
24,Squad Total,,26.3,7.3,3277.0,3969.0,82.6,59209.0,18414.0,1481.0,1642.0,90.2,1412.0,1582.0,89.3,339.0,578.0,58.7,12,10.3,9.2,1.7,80.0,300.0,53.0,20.0,187.0,,France
25,Opponent Total,,26.8,7.3,3085.0,3747.0,82.3,51571.0,17503.0,1526.0,1703.0,89.6,1271.0,1418.0,89.6,224.0,457.0,49.0,4,4.4,5.3,-0.4,51.0,208.0,44.0,10.0,221.0,,France
0,Joško Gvardiol,DF,20.0,7.7,464.0,519.0,89.4,8363.0,3112.0,195.0,204.0,95.6,224.0,244.0,91.8,39.0,58.0,67.2,0,0.0,0.3,0.0,1.0,26.0,1.0,0.0,17.0,Matches,Croatia
1,Dominik Livaković,GK,27.0,7.7,194.0,228.0,85.1,4572.0,3311.0,67.0,67.0,100.0,81.0,81.0,100.0,43.0,76.0,56.6,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,Matches,Croatia
2,Ivan Perišić,"FW,DF",33.0,7.4,202.0,292.0,69.2,3127.0,666.0,118.0,141.0,83.7,58.0,91.0,63.7,17.0,36.0,47.2,3,0.9,0.6,2.1,9.0,11.0,9.0,3.0,15.0,Matches,Croatia
3,Luka Modrić,MF,36.0,7.3,465.0,551.0,84.4,7825.0,2857.0,229.0,244.0,93.9,173.0,202.0,85.6,45.0,71.0,63.4,0,0.7,0.8,-0.7,6.0,51.0,10.0,3.0,61.0,Matches,Croatia
4,Mateo Kovačić,MF,28.0,7.1,415.0,460.0,90.2,6213.0,1384.0,236.0,250.0,94.4,144.0,156.0,92.3,21.0,31.0,67.7,0,1.0,1.2,-1.0,9.0,47.0,7.0,0.0,31.0,Matches,Croatia
5,Andrej Kramarić,"FW,MF",30.0,5.3,153.0,176.0,86.9,2049.0,233.0,104.0,111.0,93.7,35.0,38.0,92.1,7.0,12.0,58.3,0,0.2,0.3,-0.2,4.0,0.0,3.0,1.0,4.0,Matches,Croatia
6,Josip Juranović,DF,26.0,6.7,318.0,405.0,78.5,4928.0,1748.0,183.0,195.0,93.8,101.0,133.0,75.9,24.0,47.0,51.1,1,0.3,0.3,0.7,7.0,24.0,6.0,4.0,21.0,Matches,Croatia
7,Dejan Lovren,DF,32.0,6.7,405.0,460.0,88.0,7863.0,2519.0,137.0,150.0,91.3,219.0,235.0,93.2,44.0,65.0,67.7,1,0.0,0.1,1.0,1.0,14.0,1.0,1.0,16.0,Matches,Croatia
8,Marcelo Brozović,MF,29.0,6.1,466.0,530.0,87.9,7429.0,1726.0,253.0,279.0,90.7,151.0,167.0,90.4,48.0,54.0,88.9,0,0.2,0.2,-0.2,5.0,31.0,1.0,0.0,25.0,Matches,Croatia
9,Borna Sosa,DF,24.0,4.7,220.0,278.0,79.1,3068.0,1123.0,143.0,154.0,92.9,61.0,83.0,73.5,10.0,23.0,43.5,0,0.4,0.5,-0.4,2.0,11.0,3.0,2.0,9.0,Matches,Croatia
10,Marko Livaja,FW,28.0,2.7,35.0,58.0,60.3,502.0,133.0,18.0,27.0,66.7,14.0,19.0,73.7,1.0,2.0,50.0,1,0.1,0.1,0.9,3.0,4.0,3.0,0.0,7.0,Matches,Croatia
11,Mario Pašalić,"FW,MF",27.0,3.0,76.0,95.0,80.0,1146.0,343.0,42.0,46.0,91.3,24.0,29.0,82.8,6.0,8.0,75.0,0,0.2,0.2,-0.2,1.0,3.0,1.0,1.0,5.0,Matches,Croatia
12,Bruno Petković,FW,27.0,2.6,40.0,75.0,53.3,590.0,119.0,22.0,34.0,64.7,10.0,17.0,58.8,4.0,8.0,50.0,0,0.3,0.2,-0.3,4.0,7.0,0.0,0.0,5.0,Matches,Croatia
13,Nikola Vlašić,"FW,MF",24.0,2.3,45.0,55.0,81.8,570.0,94.0,27.0,27.0,100.0,15.0,18.0,83.3,0.0,2.0,0.0,0,0.0,0.1,0.0,0.0,4.0,2.0,1.0,4.0,Matches,Croatia
14,Mislav Oršić,FW,29.0,1.8,40.0,54.0,74.1,478.0,160.0,28.0,32.0,87.5,10.0,15.0,66.7,0.0,3.0,0.0,2,1.1,0.6,0.9,5.0,2.0,4.0,0.0,5.0,Matches,Croatia
15,Lovro Majer,"MF,FW",24.0,1.4,78.0,98.0,79.6,1165.0,300.0,43.0,47.0,91.5,27.0,34.0,79.4,3.0,8.0,37.5,0,0.1,0.3,-0.1,2.0,5.0,4.0,3.0,5.0,Matches,Croatia
16,Borna Barišić,DF,29.0,1.3,50.0,69.0,72.5,818.0,290.0,23.0,26.0,88.5,19.0,27.0,70.4,5.0,11.0,45.5,0,0.1,0.2,-0.1,1.0,2.0,4.0,3.0,3.0,Matches,Croatia
17,Josip Stanišić,DF,22.0,1.0,36.0,49.0,73.5,611.0,129.0,20.0,24.0,83.3,13.0,15.0,86.7,3.0,5.0,60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches,Croatia
18,Josip Šutalo,DF,22.0,1.0,62.0,66.0,93.9,1178.0,314.0,22.0,23.0,95.7,34.0,36.0,94.4,5.0,6.0,83.3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches,Croatia
19,Ante Budimir,FW,30.0,0.6,2.0,5.0,40.0,12.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Matches,Croatia
20,Kristijan Jakić,FW,25.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Croatia
21,Squad Total,,28.3,7.7,3766.0,4523.0,83.3,62507.0,20561.0,1911.0,2082.0,91.8,1413.0,1642.0,86.1,325.0,526.0,61.8,8,5.6,6.0,2.4,61.0,246.0,59.0,22.0,236.0,,Croatia
22,Opponent Total,,27.5,7.7,3122.0,3817.0,81.8,52736.0,18273.0,1503.0,1668.0,90.1,1287.0,1472.0,87.4,254.0,493.0,51.5,4,6.6,6.8,-2.6,57.0,217.0,49.0,15.0,171.0,,Croatia
0,Sofyan Amrabat,MF,25.0,7.3,269.0,322.0,83.5,4620.0,1365.0,114.0,129.0,88.4,123.0,136.0,90.4,24.0,36.0,66.7,0,0.1,0.1,-0.1,2.0,10.0,1.0,0.0,16.0,Matches,Morocco
