,Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,
10,Lee Kangin,"MF,FW",21.0,1.6,1,0,0,2,4,0,12,0,3,0.0,0.0,0,6.0,0.0,1.0,0.0,Matches,Korea
11,Na Sang-ho,FW,25.0,1.3,0,0,0,2,0,0,8,0,1,0.0,0.0,0,5.0,3.0,3.0,50.0,Matches,Korea
12,Hwang Hee-chan,"MF,FW",26.0,1.3,1,0,0,3,3,0,3,0,1,0.0,0.0,0,7.0,0.0,1.0,0.0,Matches,Korea
13,Hwang Ui-jo,"FW,MF",29.0,1.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,1.0,12.0,7.7,Matches,Korea
14,Kwon Kyung-won,DF,30.0,1.0,0,0,0,0,3,0,0,2,0,0.0,0.0,0,2.0,2.0,2.0,50.0,Matches,Korea
15,Kwon Chang-hoon,"FW,MF",27.0,0.6,0,0,0,0,0,0,3,0,0,0.0,0.0,0,3.0,0.0,2.0,0.0,Matches,Korea
16,Jeong Woo-yeong,MF,22.0,0.5,0,0,0,1,0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Korea
17,Son Jun-ho,"MF,DF",30.0,0.8,0,0,0,5,0,0,0,3,3,0.0,0.0,0,9.0,0.0,1.0,0.0,Matches,Korea
18,Hong Chul,DF,31.0,0.5,0,0,0,0,0,0,2,1,0,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,Korea
19,Paik Seung-ho,MF,25.0,0.3,0,0,0,1,0,0,0,0,2,0.0,0.0,0,4.0,1.0,0.0,100.0,Matches,Korea
20,Cho Yumin,FW,25.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Korea
21,Squad Total,,28.2,4.0,6,0,0,45,34,7,92,31,33,0.0,1.0,0,175.0,72.0,59.0,55.0,,Korea
22,Opponent Total,,27.0,4.0,3,0,0,34,44,7,59,34,38,1.0,0.0,0,183.0,59.0,72.0,45.0,,Korea
0,Joshua Kimmich,"MF,DF",27.0,3.0,1,0,0,2,2,0,21,3,2,0.0,0.0,0,19.0,4.0,1.0,80.0,Matches,Germany
1,Manuel Neuer,GK,36.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,Germany
2,Antonio Rüdiger,DF,29.0,3.0,0,0,0,0,3,1,0,0,1,0.0,0.0,0,20.0,6.0,1.0,85.7,Matches,Germany
3,Niklas Süle,DF,26.0,3.0,0,0,0,0,2,0,1,0,4,0.0,0.0,0,17.0,6.0,3.0,66.7,Matches,Germany
4,Serge Gnabry,"FW,MF",26.0,2.9,0,0,0,2,2,3,7,2,2,0.0,0.0,0,11.0,0.0,2.0,0.0,Matches,Germany
5,Jamal Musiala,"MF,FW",19.0,2.9,0,0,0,1,6,1,1,1,1,0.0,0.0,0,19.0,1.0,2.0,33.3,Matches,Germany
6,David Raum,DF,24.0,2.7,0,0,0,5,3,1,24,7,3,1.0,0.0,0,12.0,5.0,3.0,62.5,Matches,Germany
7,Thomas Müller,"FW,MF",32.0,2.2,0,0,0,0,1,2,5,1,2,0.0,0.0,0,1.0,1.0,7.0,12.5,Matches,Germany
8,İlkay Gündoğan,MF,31.0,2.1,0,0,0,3,2,1,1,1,1,0.0,0.0,0,18.0,3.0,2.0,60.0,Matches,Germany
9,Leon Goretzka,MF,27.0,1.8,1,0,0,4,3,0,1,1,3,0.0,0.0,0,12.0,3.0,2.0,60.0,Matches,Germany
10,Leroy Sané,"FW,DF",26.0,1.2,0,0,0,0,0,0,2,0,1,0.0,0.0,0,6.0,1.0,1.0,50.0,Matches,Germany
11,Kai Havertz,FW,23.0,1.1,0,0,0,3,0,3,2,1,1,0.0,0.0,0,3.0,0.0,2.0,0.0,Matches,Germany
12,Nico Schlotterbeck,DF,22.0,1.0,0,0,0,1,1,0,0,1,3,0.0,0.0,0,10.0,2.0,0.0,100.0,Matches,Germany
13,Thilo Kehrer,DF,25.0,0.8,1,0,0,3,0,0,0,3,2,0.0,0.0,0,3.0,0.0,0.0,,Matches,Germany
14,Niclas Füllkrug,FW,29.0,0.8,0,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,4.0,5.0,44.4,Matches,Germany
15,Lukas Klostermann,DF,26.0,0.7,0,0,0,1,0,0,0,0,1,0.0,0.0,0,6.0,0.0,0.0,,Matches,Germany
16,Mario Götze,MF,30.0,0.4,0,0,0,0,1,0,2,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Germany
17,Jonas Hofmann,FW,29.0,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Matches,Germany
18,Matthias Ginter,DF,28.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Matches,Germany
19,Youssoufa Moukoko,FW,17.0,0.0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Germany
20,Squad Total,,27.3,3.0,3,0,0,26,27,12,68,21,27,1.0,0.0,0,164.0,36.0,33.0,52.2,,Germany
21,Opponent Total,,28.1,3.0,2,0,0,30,26,10,28,22,38,0.0,1.0,0,164.0,33.0,36.0,47.8,,Germany
0,Pervis Estupiñán,DF,24.0,3.0,0,0,0,8,3,2,19,3,3,0.0,0.0,0,21.0,3.0,3.0,50.0,Matches,Ecuador
1,Hernán Galíndez,GK,35.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0,Matches,Ecuador
2,Piero Hincapié,DF,20.0,3.0,0,0,0,5,1,0,1,2,4,0.0,1.0,0,13.0,5.0,3.0,62.5,Matches,Ecuador
3,Félix Torres Caicedo,DF,25.0,3.0,0,0,0,1,0,0,0,4,2,0.0,0.0,0,17.0,9.0,4.0,69.2,Matches,Ecuador
4,Moisés Caicedo,MF,20.0,3.0,1,0,0,4,5,0,0,2,5,0.0,0.0,0,14.0,1.0,1.0,50.0,Matches,Ecuador
5,Gonzalo Plata,"MF,FW",21.0,3.0,0,0,0,4,6,0,17,2,2,0.0,0.0,0,10.0,5.0,6.0,45.5,Matches,Ecuador
6,Ángelo Preciado,DF,24.0,2.9,0,0,0,8,2,0,8,6,5,0.0,0.0,0,10.0,3.0,2.0,60.0,Matches,Ecuador
7,Enner Valencia,"FW,MF",32.0,2.8,0,0,0,3,7,2,3,1,0,1.0,0.0,0,8.0,2.0,8.0,20.0,Matches,Ecuador
8,Michael Estrada,FW,26.0,2.5,0,0,0,6,7,2,0,0,0,0.0,0.0,0,5.0,13.0,14.0,48.1,Matches,Ecuador
9,Jhegson Méndez,MF,25.0,2.0,2,0,0,3,2,0,2,1,2,0.0,0.0,0,16.0,2.0,2.0,50.0,Matches,Ecuador
10,Jackson Porozo,DF,21.0,1.1,0,0,0,1,2,1,0,3,2,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,Ecuador
11,Romario Ibarra,MF,27.0,0.8,0,0,0,0,0,0,0,1,0,0.0,0.0,0,3.0,0.0,1.0,0.0,Matches,Ecuador
12,Alan Franco,MF,23.0,0.5,0,0,0,0,0,0,0,2,0,0.0,0.0,0,1.0,1.0,1.0,50.0,Matches,Ecuador
13,Carlos Gruezo,MF,27.0,0.5,0,0,0,0,0,0,0,0,2,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,Ecuador
14,Jeremy Sarmiento,"MF,FW",19.0,0.9,0,0,0,2,2,1,5,1,1,0.0,0.0,0,6.0,2.0,1.0,66.7,Matches,Ecuador
15,José Cifuentes,MF,23.0,0.7,0,0,0,3,0,0,2,0,2,0.0,0.0,0,3.0,0.0,0.0,,Matches,Ecuador
16,Djorkaeff Reasco,FW,23.0,0.3,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Ecuador
17,Kevin Rodríguez,FW,22.0,0.0,0,0,0,1,0,0,0,0,0,,,0,,,,,Matches,Ecuador
18,Squad Total,,24.9,3.0,3,0,0,50,37,8,57,28,30,1.0,1.0,0,135.0,50.0,49.0,50.5,,Ecuador
19,Opponent Total,,27.2,3.0,5,0,0,41,48,7,36,21,28,1.0,1.0,0,131.0,49.0,50.0,49.5,,Ecuador
0,Collins Fai,DF,29.0,3.0,2,0,0,4,4,0,13,4,2,0.0,0.0,0,21.0,1.0,1.0,50.0,Matches,Cameroon
1,Nouhou Tolo,DF,24.0,3.0,1,0,0,3,1,0,7,6,5,0.0,0.0,0,17.0,4.0,3.0,57.1,Matches,Cameroon
2,Andre-Frank Zambo Anguissa,MF,26.0,2.9,0,0,0,6,4,0,2,5,0,0.0,0.0,0,16.0,4.0,0.0,100.0,Matches,Cameroon
3,Eric Maxim Choupo-Moting,"FW,MF",33.0,2.8,0,0,0,0,1,1,0,1,2,0.0,0.0,0,8.0,11.0,6.0,64.7,Matches,Cameroon
4,Bryan Mbeumo,"FW,MF",22.0,2.6,0,0,0,1,8,0,12,1,0,0.0,0.0,0,7.0,5.0,9.0,35.7,Matches,Cameroon
5,Jean-Charles Castelletto,DF,27.0,2.0,0,0,0,1,1,0,3,6,3,0.0,0.0,0,9.0,3.0,1.0,75.0,Matches,Cameroon
6,Devis Epassy,GK,29.0,2.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1.0,2.0,0.0,100.0,Matches,Cameroon
7,Nicolas Nkoulou,DF,32.0,2.0,1,0,0,2,2,0,0,5,0,0.0,0.0,0,11.0,2.0,4.0,33.3,Matches,Cameroon
8,Karl Toko Ekambi,"FW,MF",29.0,1.8,0,0,0,0,3,0,3,2,1,0.0,0.0,0,8.0,1.0,4.0,20.0,Matches,Cameroon
9,Pierre Kunde,MF,26.0,1.5,1,0,0,3,1,0,4,4,2,0.0,0.0,0,13.0,1.0,0.0,100.0,Matches,Cameroon
10,Martin Hongla,MF,24.0,1.3,0,0,0,1,1,1,1,2,0,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches,Cameroon
11,Vincent Aboubakar,FW,30.0,1.6,2,1,1,3,2,0,0,0,0,0.0,0.0,0,3.0,2.0,3.0,40.0,Matches,Cameroon
12,Samuel Oum Gouet,MF,24.0,1.1,0,0,0,0,1,0,1,0,1,0.0,0.0,0,10.0,1.0,0.0,100.0,Matches,Cameroon
13,Moumi Ngamaleu,"FW,MF",27.0,1.1,0,0,0,3,5,0,1,0,1,0.0,0.0,0,5.0,0.0,2.0,0.0,Matches,Cameroon
14,Enzo Ebosse,DF,23.0,1.0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,1.0,2.0,0.0,100.0,Matches,Cameroon
15,Christopher Wooh,DF,20.0,1.0,0,0,0,2,0,0,0,1,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Cameroon
16,André Onana,GK,26.0,0.9,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Cameroon
17,Gaël Ondoua,MF,26.0,0.5,0,0,0,2,1,0,0,2,1,0.0,0.0,0,2.0,1.0,2.0,33.3,Matches,Cameroon
18,Georges-Kévin N'Koudou,"FW,MF",27.0,0.3,0,0,0,1,1,0,2,0,0,0.0,0.0,0,3.0,0.0,1.0,0.0,Matches,Cameroon
19,Olivier Ntcham,MF,26.0,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Cameroon
20,Christian Bassogog,MF,26.0,0.3,1,0,0,0,1,0,2,1,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Cameroon
21,Jerome Ngom Mbekeli,MF,23.0,0.1,0,0,0,0,0,0,2,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches,Cameroon
22,Squad Total,,27.2,3.0,8,1,1,32,38,2,53,40,20,0.0,0.0,0,142.0,42.0,36.0,53.8,,Cameroon
23,Opponent Total,,27.1,3.0,6,0,0,39,29,7,68,11,23,0.0,0.0,0,173.0,36.0,42.0,46.2,,Cameroon
0,José María Giménez,DF,27.0,3.0,1,0,0,4,3,1,2,7,1,0.0,1.0,0,13.0,8.0,3.0,72.7,Matches,Uruguay
1,Sergio Rochet,GK,29.0,3.0,0,0,0,1,0,0,0,0,0,0.0,1.0,0,2.0,1.0,0.0,100.0,Matches,Uruguay
2,Federico Valverde,MF,23.0,3.0,0,0,0,6,2,0,7,5,4,0.0,0.0,0,19.0,1.0,3.0,25.0,Matches,Uruguay
3,Mathías Olivera,DF,24.0,2.8,1,0,0,2,3,0,6,2,5,0.0,0.0,0,15.0,6.0,4.0,60.0,Matches,Uruguay
4,Darwin Núñez,FW,22.0,2.7,1,0,0,2,3,0,4,0,2,0.0,0.0,0,6.0,5.0,10.0,33.3,Matches,Uruguay
5,Rodrigo Bentancur,MF,24.0,2.4,1,0,0,5,3,0,2,7,8,0.0,0.0,0,35.0,6.0,3.0,66.7,Matches,Uruguay
6,Matías Vecino,MF,30.0,2.2,0,0,0,4,0,0,1,4,3,0.0,0.0,0,18.0,3.0,3.0,50.0,Matches,Uruguay
7,Guillermo Varela,DF,29.0,2.0,0,0,0,3,8,0,7,3,2,0.0,0.0,0,8.0,1.0,2.0,33.3,Matches,Uruguay
8,Facundo Pellistri,"MF,FW",20.0,2.0,0,0,0,2,2,0,3,0,1,0.0,0.0,0,9.0,0.0,6.0,0.0,Matches,Uruguay
9,Sebastián Coates,DF,31.0,2.0,1,0,0,2,0,0,0,1,0,0.0,0.0,0,9.0,7.0,0.0,100.0,Matches,Uruguay
10,Diego Godín,DF,36.0,1.7,0,0,0,0,1,0,0,1,0,0.0,0.0,0,6.0,8.0,2.0,80.0,Matches,Uruguay
11,Luis Suárez,FW,35.0,1.6,1,0,0,0,6,1,0,0,0,0.0,0.0,0,3.0,2.0,4.0,33.3,Matches,Uruguay
12,Edinson Cavani,FW,35.0,1.4,1,0,0,0,1,1,0,0,0,0.0,0.0,0,6.0,2.0,1.0,66.7,Matches,Uruguay
13,Giorgian De Arrascaeta,MF,28.0,1.2,0,0,0,0,0,0,6,2,1,0.0,0.0,0,7.0,0.0,4.0,0.0,Matches,Uruguay
14,Martín Cáceres,DF,35.0,1.0,1,0,0,1,0,0,0,0,0,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches,Uruguay
15,Nicolás De La Cruz,MF,25.0,0.4,0,0,0,0,2,0,1,0,0,0.0,0.0,0,4.0,0.0,1.0,0.0,Matches,Uruguay
16,Maxi Gómez,FW,25.0,0.3,0,0,0,1,1,0,0,0,0,0.0,0.0,0,0.0,2.0,0.0,100.0,Matches,Uruguay
17,Matías Viña,DF,24.0,0.2,0,0,0,1,0,0,2,0,3,0.0,0.0,0,1.0,0.0,0.0,,Matches,Uruguay
18,Agustín Canobbio,MF,23.0,0.1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,Uruguay
19,Squad Total,,27.6,3.0,8,0,0,34,36,3,41,32,31,0.0,2.0,0,166.0,53.0,47.0,53.0,,Uruguay
20,Opponent Total,,27.1,3.0,7,0,0,38,31,5,57,24,24,1.0,0.0,0,160.0,47.0,53.0,47.0,,Uruguay
0,Aimen Dahmen,GK,25.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,Matches,Tunisia
1,Yassine Meriah,DF,28.0,3.0,0,0,0,3,1,0,2,1,2,0.0,0.0,0,16.0,5.0,6.0,45.5,Matches,Tunisia
2,Ellyes Skhiri,MF,27.0,3.0,0,0,0,3,2,0,2,7,3,0.0,0.0,0,18.0,1.0,0.0,100.0,Matches,Tunisia
3,Montassar Talbi,DF,24.0,3.0,0,0,0,4,2,0,0,2,2,0.0,0.0,0,16.0,8.0,9.0,47.1,Matches,Tunisia
4,Aïssa Laïdouni,MF,25.0,2.7,1,0,0,3,6,0,3,4,3,0.0,0.0,0,25.0,3.0,1.0,75.0,Matches,Tunisia
5,Ali Abdi,DF,28.0,2.1,1,0,0,5,0,1,5,4,5,0.0,0.0,0,17.0,9.0,5.0,64.3,Matches,Tunisia
6,Issam Jebali,FW,30.0,2.0,0,0,0,10,2,1,2,0,3,0.0,0.0,0,8.0,2.0,15.0,11.8,Matches,Tunisia
7,Youssef Msakni,"MF,FW",31.0,1.9,0,0,0,0,4,0,2,0,1,0.0,0.0,0,9.0,3.0,6.0,33.3,Matches,Tunisia
8,Dylan Bronn,DF,26.0,1.8,0,0,0,1,1,0,0,0,2,0.0,0.0,0,7.0,2.0,4.0,33.3,Matches,Tunisia
9,Anis Ben Slimane,MF,21.0,1.6,0,0,0,0,0,0,8,1,1,0.0,0.0,0,5.0,5.0,3.0,62.5,Matches,Tunisia
10,Mohamed Dräger,DF,25.0,1.5,0,0,0,2,1,0,3,1,3,0.0,0.0,0,2.0,1.0,1.0,50.0,Matches,Tunisia
11,Naïm Sliti,"MF,FW",29.0,1.3,0,0,0,0,3,2,13,0,1,0.0,0.0,0,8.0,1.0,1.0,50.0,Matches,Tunisia
12,Wajdi Kechrida,DF,26.0,1.2,1,0,0,2,0,0,5,0,3,0.0,0.0,0,6.0,1.0,2.0,33.3,Matches,Tunisia
13,Nader Ghandri,DF,27.0,1.0,0,0,0,0,1,1,0,1,2,0.0,0.0,0,2.0,2.0,1.0,66.7,Matches,Tunisia
14,Ali Maâloul,DF,32.0,1.0,0,0,0,0,0,0,13,0,1,0.0,0.0,0,5.0,0.0,1.0,0.0,Matches,Tunisia
15,Wahbi Khazri,"FW,MF",31.0,0.9,0,0,0,1,2,2,2,0,0,0.0,0.0,0,5.0,0.0,0.0,,Matches,Tunisia
16,Mohamed Ali Ben Romdhane,MF,22.0,0.8,0,0,0,1,1,0,1,0,4,0.0,0.0,0,10.0,1.0,0.0,100.0,Matches,Tunisia
17,Ferjani Sassi,"MF,DF",30.0,0.5,1,0,0,1,1,0,0,1,0,0.0,0.0,0,5.0,2.0,0.0,100.0,Matches,Tunisia
18,Taha Yassine Khenissi,FW,30.0,0.3,1,0,0,3,1,0,0,0,0,0.0,0.0,0,0.0,1.0,2.0,33.3,Matches,Tunisia
19,Ghaylène Chaalali,MF,28.0,0.2,0,0,0,1,0,0,0,2,0,0.0,0.0,0,2.0,1.0,0.0,100.0,Matches,Tunisia
20,Hannibal Mejbri,MF,19.0,0.1,0,0,0,0,0,0,0,1,0,0.0,0.0,0,1.0,0.0,0.0,,Matches,Tunisia
21,Squad Total,,26.9,3.0,5,0,0,40,28,7,61,25,36,0.0,0.0,0,170.0,48.0,57.0,45.7,,Tunisia
22,Opponent Total,,26.7,3.0,2,0,0,30,36,3,65,35,37,0.0,0.0,0,164.0,57.0,48.0,54.3,,Tunisia
0,Luis Chávez,MF,26.0,3.0,0,0,0,3,8,0,19,1,0,0.0,0.0,0,15.0,5.0,5.0,50.0,Matches,Mexico
1,Jesús Gallardo,DF,27.0,3.0,0,0,0,4,1,0,9,1,5,0.0,0.0,0,14.0,1.0,0.0,100.0,Matches,Mexico
2,César Montes,DF,25.0,3.0,0,0,0,4,0,0,0,2,3,0.0,0.0,0,13.0,7.0,5.0,58.3,Matches,Mexico
3,Héctor Moreno,DF,34.0,3.0,1,0,0,3,3,0,0,1,1,0.0,1.0,0,14.0,5.0,8.0,38.5,Matches,Mexico
4,Guillermo Ochoa,GK,36.0,3.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,7.0,0.0,0.0,,Matches,Mexico
5,Hirving Lozano,FW,26.0,2.8,0,0,0,7,11,2,24,0,2,0.0,0.0,0,14.0,1.0,10.0,9.1,Matches,Mexico
6,Alexis Vega,FW,24.0,2.1,0,0,0,2,6,4,6,1,0,0.0,0.0,0,16.0,1.0,5.0,16.7,Matches,Mexico
7,Edson Álvarez,MF,24.0,1.9,1,0,0,4,1,1,0,4,2,0.0,0.0,0,10.0,11.0,5.0,68.8,Matches,Mexico
8,Jorge Eduardo Sánchez,DF,24.0,1.9,1,0,0,5,1,2,2,3,0,0.0,0.0,0,6.0,3.0,2.0,60.0,Matches,Mexico
9,Héctor Herrera,MF,32.0,1.8,1,0,0,4,1,0,4,3,3,0.0,0.0,0,7.0,6.0,2.0,75.0,Matches,Mexico
10,Henry Martín,FW,29.0,1.6,0,0,0,3,3,2,0,2,1,0.0,0.0,0,4.0,3.0,2.0,60.0,Matches,Mexico
11,Néstor Araujo,DF,30.0,1.0,1,0,0,2,0,0,2,3,1,0.0,0.0,0,6.0,0.0,0.0,,Matches,Mexico
12,Orbelín Pineda,MF,26.0,0.8,0,0,0,2,4,0,0,0,3,0.0,0.0,0,4.0,0.0,2.0,0.0,Matches,Mexico
13,Kevin Álvarez,DF,23.0,0.8,0,0,0,0,1,0,1,1,0,0.0,0.0,0,4.0,0.0,2.0,0.0,Matches,Mexico
14,Andrés Guardado,MF,35.0,0.5,0,0,0,1,0,0,0,0,2,0.0,0.0,0,5.0,0.0,0.0,,Matches,Mexico
15,Uriel Antuna,"FW,MF",24.0,0.9,0,0,0,0,1,2,7,0,3,0.0,0.0,0,1.0,0.0,2.0,0.0,Matches,Mexico
16,Raúl Jiménez,FW,31.0,0.7,0,0,0,1,1,0,2,1,0,0.0,0.0,0,2.0,3.0,0.0,100.0,Matches,Mexico
17,Erick Gutiérrez,MF,26.0,0.5,1,0,0,2,3,0,0,2,1,0.0,0.0,0,3.0,1.0,0.0,100.0,Matches,Mexico
18,Charly Rodríguez,MF,25.0,0.4,0,0,0,1,1,0,1,0,0,0.0,0.0,0,6.0,0.0,1.0,0.0,Matches,Mexico
19,Roberto Alvarado,FW,23.0,0.2,1,0,0,1,0,0,2,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches,Mexico
20,Rogelio Funes Mori,FW,31.0,0.1,0,0,0,2,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches,Mexico
21,Squad Total,,28.2,3.0,7,0,0,51,48,13,79,25,27,0.0,1.0,0,151.0,48.0,51.0,48.5,,Mexico
22,Opponent Total,,27.3,3.0,8,0,0,50,47,4,37,23,18,1.0,0.0,0,125.0,51.0,48.0,51.5,,Mexico
0,Toby Alderweireld,DF,33.0,3.0,0,0,0,0,0,0,2,0,2,0.0,0.0,0,9.0,1.0,2.0,33.3,Matches,Belgium
1,Timothy Castagne,DF,26.0,3.0,0,0,0,3,1,0,3,2,4,0.0,0.0,0,9.0,2.0,3.0,40.0,Matches,Belgium
2,Thibaut Courtois,GK,30.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Belgium
3,Kevin De Bruyne,"FW,MF",30.0,3.0,0,0,0,0,2,0,18,0,1,0.0,0.0,0,11.0,4.0,0.0,100.0,Matches,Belgium
4,Jan Vertonghen,DF,35.0,3.0,0,0,0,0,6,0,0,5,0,0.0,0.0,0,15.0,11.0,5.0,68.8,Matches,Belgium
5,Axel Witsel,MF,33.0,3.0,0,0,0,5,4,0,0,4,2,0.0,0.0,0,12.0,4.0,2.0,66.7,Matches,Belgium
6,Thomas Meunier,DF,30.0,2.3,1,0,0,4,1,0,6,2,6,0.0,0.0,0,13.0,2.0,3.0,40.0,Matches,Belgium
7,Leander Dendoncker,"DF,MF",27.0,1.8,1,0,0,3,0,0,0,0,3,0.0,0.0,0,6.0,2.0,1.0,66.7,Matches,Belgium
8,Michy Batshuayi,FW,28.0,1.7,0,0,0,5,1,2,0,0,0,0.0,0.0,0,4.0,1.0,2.0,33.3,Matches,Belgium
9,Eden Hazard,MF,31.0,1.4,0,0,0,0,7,0,1,1,0,0.0,0.0,0,7.0,1.0,1.0,50.0,Matches,Belgium
10,Yannick Carrasco,"FW,DF",28.0,1.3,1,0,0,1,2,0,2,1,4,0.0,1.0,0,8.0,0.0,0.0,,Matches,Belgium
11,Thorgan Hazard,FW,29.0,1.2,0,0,0,2,2,1,9,0,2,0.0,0.0,0,6.0,0.0,3.0,0.0,Matches,Belgium
12,Amadou Onana,MF,20.0,1.2,2,0,0,4,3,0,0,0,1,0.0,0.0,0,7.0,2.0,0.0,100.0,Matches,Belgium
13,Leandro Trossard,"FW,MF",27.0,1.1,0,0,0,0,2,0,2,0,1,0.0,0.0,0,7.0,0.0,0.0,,Matches,Belgium
14,Youri Tielemans,MF,25.0,1.1,0,0,0,2,1,0,1,2,1,0.0,0.0,0,9.0,2.0,1.0,66.7,Matches,Belgium
15,Dries Mertens,"MF,FW",35.0,0.8,0,0,0,0,0,0,5,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Belgium
16,Romelu Lukaku,FW,29.0,0.6,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,1.0,0.0,100.0,Matches,Belgium
17,Jeremy Doku,"MF,FW",20.0,0.2,0,0,0,0,1,0,3,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Matches,Belgium
18,Charles De Ketelaere,FW,21.0,0.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,3.0,0.0,3.0,0.0,Matches,Belgium
19,Loïs Openda,FW,22.0,0.1,0,0,0,0,1,0,1,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches,Belgium
20,Squad Total,,29.7,3.0,5,0,0,30,35,3,53,17,27,0.0,1.0,0,132.0,33.0,28.0,54.1,,Belgium
21,Opponent Total,,27.5,3.0,3,0,0,35,28,8,48,20,20,0.0,0.0,0,135.0,28.0,33.0,45.9,,Belgium
0,Lawrence Ati-Zigi,GK,25.0,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3.0,0.0,0.0,,Matches,Ghana
1,Thomas Partey,MF,29.0,3.0,0,0,0,3,2,0,1,0,5,0.0,0.0,0,21.0,6.0,3.0,66.7,Matches,Ghana
2,Mohammed Salisu,DF,23.0,3.0,0,0,0,6,1,0,0,3,1,0.0,1.0,0,15.0,8.0,8.0,50.0,Matches,Ghana
3,Iñaki Williams,FW,27.0,3.0,0,0,0,4,3,1,1,0,2,0.0,0.0,0,9.0,1.0,3.0,25.0,Matches,Ghana
4,Daniel Amartey,DF,27.0,2.8,2,0,0,3,1,0,0,3,4,0.0,0.0,0,15.0,5.0,4.0,55.6,Matches,Ghana
5,Salis Abdul Samed,MF,22.0,2.8,0,0,0,5,2,0,2,4,2,0.0,0.0,0,15.0,0.0,3.0,0.0,Matches,Ghana
6,Kudus Mohammed,"FW,MF",21.0,2.7,1,0,0,3,5,1,6,1,4,1.0,0.0,0,22.0,0.0,4.0,0.0,Matches,Ghana
7,André Ayew,"MF,FW",32.0,2.2,1,0,0,2,6,1,0,0,1,0.0,0.0,0,6.0,3.0,13.0,18.8,Matches,Ghana
8,Baba Rahman,DF,27.0,2.0,0,0,0,7,1,0,11,1,3,0.0,0.0,0,6.0,2.0,4.0,33.3,Matches,Ghana
9,Alidu Seidu,DF,22.0,1.7,2,0,0,5,5,0,6,0,4,0.0,0.0,0,6.0,1.0,0.0,100.0,Matches,Ghana
10,Jordan Ayew,FW,30.0,1.5,0,0,0,2,5,0,8,1,3,0.0,0.0,0,8.0,0.0,5.0,0.0,Matches,Ghana
11,Tariq Lamptey,DF,21.0,1.1,1,0,0,3,2,0,3,1,1,0.0,0.0,0,8.0,0.0,1.0,0.0,Matches,Ghana
12,Alexander Djiku,"DF,FW",27.0,1.1,0,0,0,0,2,0,0,2,1,0.0,0.0,0,3.0,2.0,0.0,100.0,Matches,Ghana
13,Gideon Mensah,DF,23.0,1.0,0,0,0,0,0,0,1,2,1,0.0,0.0,0,4.0,4.0,2.0,66.7,Matches,Ghana
14,Osman Bukari,MF,23.0,0.7,0,0,0,1,1,0,1,1,0,0.0,0.0,0,2.0,1.0,2.0,33.3,Matches,Ghana
15,Kamaldeen Sulemana,FW,20.0,0.6,1,0,0,2,2,0,4,0,0,0.0,0.0,0,0.0,2.0,1.0,66.7,Matches,Ghana
