,Player,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,
7,Romain Saïss,DF,32.0,5.2,1,0,0,4,0,2,1,3,2,0.0,0.0,0,28.0,7.0,0.0,100.0,Matches,Morocco
8,Noussair Mazraoui,DF,24.0,4.1,0,0,0,3,1,1,2,1,9,0.0,0.0,0,21.0,1.0,3.0,25.0,Matches,Morocco
9,Selim Amallah,MF,25.0,4.5,1,0,0,11,8,0,2,8,9,0.0,0.0,0,12.0,2.0,9.0,18.2,Matches,Morocco
10,Nayef Aguerd,DF,26.0,3.9,0,0,0,2,0,1,0,4,2,0.0,0.0,1,18.0,5.0,2.0,71.4,Matches,Morocco
11,Jawad El Yamiq,DF,30.0,3.4,0,0,0,1,4,0,0,5,2,0.0,0.0,0,20.0,6.0,1.0,85.7,Matches,Morocco
12,Yahya Attiat Allah,DF,27.0,3.5,0,0,0,8,3,0,8,0,2,0.0,0.0,0,21.0,0.0,7.0,0.0,Matches,Morocco
13,Achraf Dari,DF,23.0,2.1,1,0,0,2,1,0,0,5,0,0.0,0.0,0,10.0,5.0,5.0,50.0,Matches,Morocco
14,Abdelhamid Sabiri,MF,25.0,2.0,1,0,0,2,3,0,1,5,1,0.0,0.0,0,7.0,2.0,2.0,50.0,Matches,Morocco
15,Munir,GK,33.0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches,Morocco
16,Bilal El Khannous,MF,18.0,0.6,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Matches,Morocco
17,Abdessamad Ezzalzouli,"FW,MF",20.0,1.0,0,0,0,4,0,0,1,0,2,0.0,0.0,0,4.0,1.0,2.0,33.3,Matches,Morocco
18,Zakaria Aboukhlal,"FW,MF",22.0,0.9,0,0,0,1,0,2,1,1,1,0.0,0.0,0,3.0,2.0,0.0,100.0,Matches,Morocco
19,Abderrazak Hamdallah,FW,31.0,0.8,0,0,0,3,2,0,0,0,0,0.0,0.0,0,4.0,1.0,7.0,12.5,Matches,Morocco
20,Walid Cheddira,FW,24.0,0.7,2,1,1,5,0,2,0,0,0,0.0,0.0,0,0.0,2.0,2.0,50.0,Matches,Morocco
21,Badr Banoun,DF,28.0,0.6,0,0,0,2,0,0,0,1,0,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches,Morocco
22,Ilias Chair,MF,24.0,0.5,0,0,0,0,0,0,2,0,0,0.0,0.0,0,2.0,0.0,0.0,,Matches,Morocco
23,Anass Zaroury,FW,21.0,0.3,0,0,0,0,0,1,3,0,0,0.0,0.0,0,3.0,0.0,0.0,,Matches,Morocco
24,Yahya Jabrane,MF,30.0,0.2,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches,Morocco
25,Squad Total,,26.3,7.3,9,1,1,96,81,19,75,68,79,0.0,0.0,1,369.0,70.0,85.0,45.2,,Morocco
26,Opponent Total,,27.2,7.3,7,0,0,82,93,20,140,63,68,0.0,0.0,0,367.0,85.0,70.0,54.8,,Morocco
0,Andries Noppert,GK,28.0,5.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,4.0,0.0,0.0,,Matches,Netherlands
1,Virgil van Dijk,DF,30.0,5.3,0,0,0,5,2,0,0,4,1,0.0,0.0,0,31.0,13.0,8.0,61.9,Matches,Netherlands
2,Nathan Aké,DF,27.0,5.3,1,0,0,4,6,0,0,8,3,0.0,0.0,0,21.0,10.0,12.0,45.5,Matches,Netherlands
3,Denzel Dumfries,DF,26.0,5.3,2,1,1,17,7,2,8,7,5,0.0,1.0,0,16.0,9.0,10.0,47.4,Matches,Netherlands
4,Frenkie de Jong,MF,25.0,5.3,1,0,0,4,6,0,3,6,5,0.0,0.0,0,30.0,8.0,1.0,88.9,Matches,Netherlands
