,Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,
11,Otávio,MF,27.0,2.2,0,3,2,66.7,1.38,0.92,0.0,0.0,23.2,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Portugal
12,William Carvalho,MF,30.0,2.4,0,1,0,0.0,0.42,0.0,0.0,,15.8,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Portugal
13,Gonçalo Ramos,"FW,MF",20.0,1.7,3,7,5,71.4,4.14,2.96,0.43,0.6,11.3,0.0,0,0,1.6,1.6,0.22,1.4,1.4,Matches,Portugal
14,Vitinha,MF,22.0,1.3,0,2,2,100.0,1.5,1.5,0.0,0.0,28.2,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Portugal
15,Ricardo Horta,FW,27.0,1.3,1,3,2,66.7,2.27,1.51,0.33,0.5,13.5,0.0,0,0,0.8,0.8,0.25,0.2,0.2,Matches,Portugal
16,Danilo Pereira,DF,30.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Portugal
17,António Silva,DF,18.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Portugal
18,João Mário,"FW,MF",29.0,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Portugal
19,Matheus Nunes,MF,23.0,0.8,0,1,0,0.0,1.23,0.0,0.0,,30.8,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Portugal
20,Nuno Mendes,DF,19.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Portugal
21,Rafael Leão,FW,23.0,1.0,2,5,2,40.0,5.11,2.05,0.4,1.0,21.2,0.0,0,0,0.4,0.4,0.08,1.6,1.6,Matches,Portugal
22,João Palhinha,MF,26.0,0.4,0,1,0,0.0,2.37,0.0,0.0,,33.2,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Portugal
23,André Silva,FW,26.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Portugal
24,Squad Total,,26.9,5.0,12,64,24,37.5,12.8,4.8,0.16,0.42,19.2,2.0,2,2,7.8,6.2,0.1,4.2,3.8,,Portugal
25,Opponent Total,,27.3,5.0,6,52,17,32.7,10.4,3.4,0.12,0.35,19.1,2.0,0,0,6.5,6.5,0.13,-0.5,-0.5,,Portugal
0,Shūichi Gonda,GK,33.0,4.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
1,Maya Yoshida,DF,33.0,4.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
2,Daichi Kamada,"FW,MF",25.0,3.6,0,6,1,16.7,1.68,0.28,0.0,0.0,17.5,1.0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,Japan
3,Yuto Nagatomo,"MF,DF",35.0,2.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
4,Junya Ito,"MF,FW",29.0,3.6,0,2,1,50.0,0.56,0.28,0.0,0.0,11.1,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,Japan
5,Wataru Endo,MF,29.0,3.4,0,6,1,16.7,1.78,0.3,0.0,0.0,25.5,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,Japan
6,Hidemasa Morita,MF,27.0,3.2,0,3,1,33.3,0.95,0.32,0.0,0.0,22.9,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Japan
7,Ko Itakura,DF,25.0,3.0,0,3,1,33.3,1.0,0.33,0.0,0.0,14.6,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,Japan
8,Daizen Maeda,FW,24.0,2.0,1,2,1,50.0,1.0,0.5,0.5,1.0,9.5,0.0,0,0,0.5,0.5,0.24,0.5,0.5,Matches,Japan
9,Ritsu Doan,FW,23.0,2.4,2,4,3,75.0,1.66,1.24,0.5,0.67,20.1,0.0,0,0,0.5,0.5,0.13,1.5,1.5,Matches,Japan
10,Shogo Taniguchi,DF,30.0,2.3,0,2,0,0.0,0.86,0.0,0.0,,8.0,0.0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches,Japan
11,Ao Tanaka,MF,23.0,1.9,1,1,1,100.0,0.53,0.53,1.0,1.0,1.5,0.0,0,0,1.0,1.0,0.96,0.0,0.0,Matches,Japan
12,Takefusa Kubo,FW,21.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
13,Takehiro Tomiyasu,"DF,MF",23.0,2.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
14,Hiroki Sakai,"MF,DF",32.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,5.4,0.0,0,0,0.5,0.5,0.53,-0.5,-0.5,Matches,Japan
15,Yuki Soma,"FW,MF",25.0,0.9,0,3,0,0.0,3.33,0.0,0.0,,22.7,1.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Japan
16,Miki Yamane,"DF,MF",28.0,0.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
17,Ayase Ueda,FW,23.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
18,Takuma Asano,FW,27.0,1.8,1,8,2,25.0,4.36,1.09,0.13,0.5,13.2,0.0,0,0,0.7,0.7,0.08,0.3,0.3,Matches,Japan
19,Kaoru Mitoma,MF,25.0,1.8,0,1,1,100.0,0.55,0.55,0.0,0.0,21.5,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Japan
20,Takumi Minamino,FW,27.0,0.7,0,2,1,50.0,3.0,1.5,0.0,0.0,15.1,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Japan
21,Hiroki Ito,DF,23.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Japan
22,Squad Total,,28.0,4.3,5,44,14,31.8,10.15,3.23,0.11,0.36,16.8,2.0,0,0,5.0,5.0,0.12,0.0,0.0,,Japan
23,Opponent Total,,27.6,4.3,4,58,18,31.0,13.38,4.15,0.05,0.17,19.2,0.0,1,1,5.7,4.9,0.09,-1.7,-1.9,,Japan
0,Kalidou Koulibaly,DF,30.0,4.0,1,2,1,50.0,0.5,0.25,0.5,1.0,7.9,0.0,0,0,0.5,0.5,0.25,0.5,0.5,Matches,Senegal
1,Edouard Mendy,GK,30.0,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Senegal
2,Youssouf Sabaly,DF,29.0,4.0,0,2,1,50.0,0.5,0.25,0.0,0.0,30.9,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Senegal
3,Ismaila Sarr,"FW,MF",24.0,3.8,1,10,1,10.0,2.62,0.26,0.0,0.0,16.5,0.0,1,1,1.7,0.9,0.09,-0.7,-0.9,Matches,Senegal
4,Abdou Diallo,DF,26.0,3.7,0,1,0,0.0,0.27,0.0,0.0,,15.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Senegal
5,Boulaye Dia,FW,25.0,3.5,1,8,3,37.5,2.26,0.85,0.13,0.33,14.2,0.0,0,0,0.7,0.7,0.09,0.3,0.3,Matches,Senegal
6,Ismail Jakobs,DF,22.0,3.1,0,1,0,0.0,0.32,0.0,0.0,,31.0,0.0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,Senegal
7,Nampalys Mendy,MF,29.0,3.0,0,2,0,0.0,0.66,0.0,0.0,,22.6,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Senegal
8,Idrissa Gana Gueye,MF,32.0,3.0,0,4,1,25.0,1.33,0.33,0.0,0.0,19.6,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,Senegal
9,Krépin Diatta,"FW,MF",23.0,2.0,0,3,1,33.3,1.49,0.5,0.0,0.0,16.5,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,Senegal
10,Pathé Ciss,MF,28.0,1.6,0,1,0,0.0,0.62,0.0,0.0,,12.8,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Senegal
11,Iliman Ndiaye,"FW,MF",22.0,1.5,0,2,0,0.0,1.33,0.0,0.0,,18.6,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Senegal
12,Pape Gueye,MF,23.0,1.7,0,4,2,50.0,2.35,1.18,0.0,0.0,24.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Senegal
13,Pape Abou Cissé,DF,26.0,1.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Senegal
14,Famara Diedhiou,FW,29.0,1.0,1,3,1,33.3,2.93,0.98,0.33,1.0,9.1,0.0,0,0,0.2,0.2,0.07,0.8,0.8,Matches,Senegal
15,Cheikhou Kouyaté,MF,32.0,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Senegal
16,Bamba Dieng,FW,22.0,1.1,1,4,1,25.0,3.6,0.9,0.25,1.0,16.3,1.0,0,0,0.5,0.5,0.12,0.5,0.5,Matches,Senegal
17,Pape Matar Sarr,MF,19.0,0.7,0,4,0,0.0,6.1,0.0,0.0,,30.8,1.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Senegal
18,Nicolas Jackson,FW,20.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Senegal
19,Fodé Ballo-Touré,DF,25.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Senegal
20,Squad Total,,26.9,4.0,5,51,12,23.5,12.75,3.0,0.08,0.33,18.5,2.0,1,1,4.6,3.8,0.07,0.4,0.2,,Senegal
21,Opponent Total,,26.5,4.0,7,37,14,37.8,9.25,3.5,0.19,0.5,16.9,1.0,0,0,3.5,3.5,0.1,3.5,3.5,,Senegal
0,Aziz Behich,DF,31.0,4.0,0,2,0,0.0,0.5,0.0,0.0,,16.4,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Australia
1,Aaron Mooy,MF,31.0,4.0,0,1,0,0.0,0.25,0.0,0.0,,29.1,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Australia
2,Kye Rowles,DF,23.0,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
3,Mathew Ryan,GK,30.0,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
4,Harry Souttar,DF,23.0,4.0,0,1,0,0.0,0.25,0.0,0.0,,8.5,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Australia
5,Jackson Irvine,"MF,FW",29.0,3.9,0,3,0,0.0,0.76,0.0,0.0,,9.3,0.0,0,0,0.5,0.5,0.17,-0.5,-0.5,Matches,Australia
6,Mathew Leckie,"MF,FW",31.0,3.7,1,1,1,100.0,0.27,0.27,1.0,1.0,13.6,0.0,0,0,0.1,0.1,0.15,0.9,0.9,Matches,Australia
7,Mitchell Duke,FW,31.0,3.0,1,7,4,57.1,2.33,1.33,0.14,0.25,17.6,0.0,0,0,0.4,0.4,0.05,0.6,0.6,Matches,Australia
8,Riley McGree,"FW,MF",23.0,2.9,0,3,1,33.3,1.02,0.34,0.0,0.0,26.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Australia
9,Craig Goodwin,MF,30.0,2.6,1,2,1,50.0,0.77,0.38,0.5,1.0,16.1,0.0,0,0,0.3,0.3,0.14,0.7,0.7,Matches,Australia
10,Miloš Degenek,DF,28.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
11,Keanu Baccus,MF,24.0,1.3,0,1,0,0.0,0.79,0.0,0.0,,23.9,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Australia
12,Fran Karačić,DF,26.0,1.0,0,3,0,0.0,2.9,0.0,0.0,,26.1,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Australia
13,Nathaniel Atkinson,DF,23.0,0.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
14,Ajdin Hrustic,"MF,FW",25.0,0.7,0,1,0,0.0,1.45,0.0,0.0,,22.4,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Australia
15,Jamie Maclaren,FW,28.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
16,Garang Kuol,"FW,MF",17.0,0.4,0,1,1,100.0,2.43,2.43,0.0,0.0,9.6,0.0,0,0,0.4,0.4,0.38,-0.4,-0.4,Matches,Australia
17,Jason Cummings,FW,26.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
18,Awer Mabil,MF,26.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
19,Bailey Wright,DF,29.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Australia
20,Squad Total,,27.8,4.0,3,26,8,30.8,6.5,2.0,0.12,0.38,18.5,0.0,0,0,2.3,2.3,0.09,0.7,0.7,,Australia
21,Opponent Total,,27.0,4.0,6,64,18,28.1,16.0,4.5,0.09,0.33,16.0,0.0,0,0,7.2,7.2,0.12,-1.2,-1.2,,Australia
0,Manuel Akanji,DF,26.0,4.0,1,4,1,25.0,1.0,0.25,0.25,1.0,12.3,1.0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,Switzerland
1,Granit Xhaka,MF,29.0,4.0,0,6,3,50.0,1.5,0.75,0.0,0.0,21.6,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,Switzerland
2,Ricardo Rodríguez,DF,29.0,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
3,Breel Embolo,FW,25.0,3.6,2,6,3,50.0,1.67,0.84,0.33,0.67,10.5,0.0,0,0,2.3,2.3,0.38,-0.3,-0.3,Matches,Switzerland
4,Remo Freuler,MF,30.0,3.6,1,3,1,33.3,0.84,0.28,0.33,1.0,10.3,0.0,0,0,0.5,0.5,0.17,0.5,0.5,Matches,Switzerland
5,Ruben Vargas,FW,23.0,3.2,0,3,1,33.3,0.95,0.32,0.0,0.0,17.0,0.0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,Switzerland
6,Djibril Sow,MF,25.0,2.9,0,2,0,0.0,0.68,0.0,0.0,,15.6,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,Switzerland
7,Yann Sommer,GK,33.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
8,Silvan Widmer,DF,29.0,2.9,0,1,0,0.0,0.34,0.0,0.0,,9.7,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Switzerland
9,Xherdan Shaqiri,"FW,MF",30.0,2.5,1,4,2,50.0,1.57,0.79,0.25,0.5,21.9,1.0,0,0,0.3,0.3,0.08,0.7,0.7,Matches,Switzerland
10,Nico Elvedi,DF,25.0,2.0,0,1,0,0.0,0.5,0.0,0.0,,9.3,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,Switzerland
11,Fabian Schär,DF,30.0,1.5,0,2,0,0.0,1.33,0.0,0.0,,16.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Switzerland
12,Edimilson Fernandes,"FW,DF",26.0,1.6,0,1,0,0.0,0.62,0.0,0.0,,24.2,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Switzerland
13,Gregor Kobel,GK,24.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
14,Fabian Rieder,FW,20.0,0.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
15,Haris Seferović,FW,30.0,0.8,0,1,0,0.0,1.27,0.0,0.0,,12.8,0.0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches,Switzerland
16,Denis Zakaria,MF,25.0,0.7,0,1,0,0.0,1.53,0.0,0.0,,25.4,0.0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,Switzerland
17,Eray Cömert,DF,24.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
18,Noah Okafor,"FW,MF",22.0,0.5,0,1,0,0.0,2.0,0.0,0.0,,17.5,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Switzerland
19,Renato Steffen,FW,30.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
20,Fabian Frei,MF,33.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
21,Michel Aebischer,"MF,FW",25.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
22,Christian Fassnacht,FW,28.0,0.1,0,1,1,100.0,11.25,11.25,0.0,0.0,14.8,0.0,0,0,0.2,0.2,0.23,-0.2,-0.2,Matches,Switzerland
23,Ardon Jasari,FW,19.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Switzerland
24,Squad Total,,27.6,4.0,5,37,12,32.4,9.25,3.0,0.14,0.42,15.9,2.0,0,0,5.6,5.6,0.16,-0.6,-0.6,,Switzerland
25,Opponent Total,,26.8,4.0,9,48,23,47.9,12.0,5.75,0.19,0.39,15.1,1.0,0,0,5.3,5.3,0.11,3.7,3.7,,Switzerland
0,Rodri,DF,25.0,4.3,0,1,0,0.0,0.23,0.0,0.0,,36.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Spain
1,Unai Simón,GK,25.0,4.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Spain
2,Dani Olmo,FW,24.0,4.1,1,12,6,50.0,2.94,1.47,0.08,0.17,21.4,0.0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches,Spain
3,Sergio Busquets,MF,33.0,4.0,0,2,0,0.0,0.5,0.0,0.0,,20.9,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,Spain
4,Pedri,MF,19.0,4.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Spain
5,Gavi,MF,17.0,3.2,1,1,1,100.0,0.32,0.32,1.0,1.0,17.6,0.0,0,0,0.1,0.1,0.14,0.9,0.9,Matches,Spain
6,Aymeric Laporte,DF,28.0,3.3,0,1,0,0.0,0.3,0.0,0.0,,13.6,0.0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,Spain
7,Jordi Alba,DF,33.0,2.9,0,2,0,0.0,0.68,0.0,0.0,,26.6,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Spain
8,Marco Asensio,FW,26.0,2.5,1,10,2,20.0,3.93,0.79,0.1,0.5,20.1,0.0,0,0,1.2,1.2,0.12,-0.2,-0.2,Matches,Spain
9,Ferrán Torres,FW,22.0,2.4,2,3,1,33.3,1.24,0.41,0.33,1.0,17.1,0.0,1,1,1.0,0.2,0.08,1.0,0.8,Matches,Spain
10,César Azpilicueta,DF,32.0,1.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Spain
11,Álvaro Morata,FW,29.0,2.1,3,8,5,62.5,3.89,2.43,0.38,0.6,10.3,0.0,0,0,1.4,1.4,0.17,1.6,1.6,Matches,Spain
12,Nico Williams,FW,19.0,1.6,0,1,0,0.0,0.62,0.0,0.0,,14.3,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,Spain
13,Dani Carvajal,DF,30.0,1.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Spain
