,Player,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,
9,Wayne Hennessey,GK,35.0,1.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
10,Harry Wilson,"MF,FW",25.0,1.8,0,2,0,0.0,1.13,0.0,0.0,,20.9,1.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Wales
11,Daniel James,"FW,MF",24.0,1.7,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
12,Joe Allen,MF,32.0,1.0,0,2,0,0.0,1.91,0.0,0.0,,24.3,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,Wales
13,Danny Ward,GK,28.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
14,Brennan Johnson,"FW,MF",21.0,1.0,0,3,1,33.3,2.97,0.99,0.0,0.0,14.6,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,Wales
15,Joe Morrell,MF,25.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
16,Rubin Colwill,MF,20.0,0.1,0,1,0,0.0,9.0,0.0,0.0,,25.1,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,Wales
17,Sorba Thomas,MF,22.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Wales
18,Squad Total,,26.8,3.0,1,23,6,26.1,7.67,2.0,0.0,0.0,20.4,1.0,1,1,2.7,1.9,0.09,-1.7,-1.9,,Wales
19,Opponent Total,,26.6,3.0,6,45,14,31.1,15.0,4.67,0.13,0.43,18.2,1.0,0,0,4.6,4.6,0.11,1.4,1.4,,Wales
0,Milan Borjan,GK,34.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
1,Alphonso Davies,"MF,DF",21.0,3.0,1,3,1,33.3,1.0,0.33,0.33,1.0,21.0,1.0,0,1,1.1,0.3,0.09,-0.1,0.7,Matches,Canada
2,Alistair Johnston,DF,23.0,3.0,0,2,1,50.0,0.67,0.33,0.0,0.0,8.5,0.0,0,0,0.8,0.8,0.4,-0.8,-0.8,Matches,Canada
3,Kamal Miller,DF,25.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
4,Steven Vitória,DF,35.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
5,Tajon Buchanan,"MF,DF",23.0,2.9,0,5,0,0.0,1.73,0.0,0.0,,15.0,0.0,0,0,0.9,0.9,0.19,-0.9,-0.9,Matches,Canada
6,Jonathan David,"FW,MF",22.0,2.1,0,8,1,12.5,3.75,0.47,0.0,0.0,14.1,0.0,0,0,1.0,0.7,0.09,-1.0,-0.7,Matches,Canada
7,Junior Hoilett,"FW,MF",32.0,1.8,0,4,0,0.0,2.24,0.0,0.0,,24.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Canada
8,Richie Laryea,"DF,MF",27.0,1.8,0,2,0,0.0,1.13,0.0,0.0,,17.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,Canada
9,Atiba Hutchinson,MF,39.0,1.8,0,2,0,0.0,1.13,0.0,0.0,,16.8,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Canada
10,Cyle Larin,FW,27.0,1.5,0,3,1,33.3,1.97,0.66,0.0,0.0,11.3,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,Canada
11,Stephen Eustáquio,MF,25.0,1.4,0,3,0,0.0,2.16,0.0,0.0,,19.8,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,Canada
12,Jonathan Osorio,"MF,FW",30.0,1.3,0,1,0,0.0,0.76,0.0,0.0,,23.7,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,Canada
13,Sam Adekugbe,DF,27.0,1.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
14,Mark-Anthony Kaye,MF,27.0,0.7,0,1,0,0.0,1.53,0.0,0.0,,25.5,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,Canada
15,Ismaël Koné,"MF,DF",20.0,1.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
16,Lucas Cavallini,FW,29.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
17,David Wotherspoon,MF,32.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches,Canada
